gene,Locus,Locus name,Symbol,Gene activity,Description,Chromosome,Arm,Available
Solyc00g500001,,,,,,,,0
Solyc00g500002,,,,,,,,0
Solyc00g500003,,,,,,,,0
Solyc00g500004,,,,,,,,0
Solyc00g500005,,,,,,,,0
Solyc00g500006,,,,,,,,0
Solyc00g500007,,,,,,,,0
Solyc00g500008,,,,,,,,0
Solyc00g500009,,,,,,,,0
Solyc00g500010,,,,,,,,0
Solyc00g500011,,,,,,,,0
Solyc00g500012,,,,,,,,0
Solyc00g500013,,,,,,,,0
Solyc00g500014,,,,,,,,0
Solyc00g500015,,,,,,,,0
Solyc00g500016,,,,,,,,0
Solyc00g500017,,,,,,,,0
Solyc00g500018,,,,,,,,0
Solyc00g014290,Solyc00g014290,Solyc00g014290,Solyc00g014290,,,Unknown Protein (AHRD V1),,1
Solyc00g005280,Solyc00g005280,Solyc00g005280,Solyc00g005280,,,Unknown Protein (AHRD V1),,1
Solyc00g500019,,,,,,,,0
Solyc00g500020,,,,,,,,0
Solyc00g500021,,,,,,,,0
Solyc00g500022,,,,,,,,0
Solyc00g180440,Solyc00g180440,Solyc00g180440,Solyc00g180440,,,50S ribosomal protein L20 chloroplastic (AHRD V1 ***- D3WBC1_9BORA); contains Interpro domain(s)  IPR005813  Ribosomal protein L20,,1
Solyc00g500023,,,,,,,,0
Solyc00g500024,,,,,,,,0
Solyc00g500025,,,,,,,,0
Solyc00g500026,,,,,,,,0
Solyc00g500027,,,,,,,,0
Solyc00g500028,,,,,,,,0
Solyc00g500029,,,,,,,,0
Solyc00g500030,,,,,,,,0
Solyc00g500031,,,,,,,,0
Solyc00g500032,,,,,,,,0
Solyc00g500033,,,,,,,,0
Solyc00g500034,,,,,,,,0
Solyc00g500035,,,,,,,,0
Solyc00g500036,,,,,,,,0
Solyc00g500037,,,,,,,,0
Solyc00g500038,,,,,,,,0
Solyc00g500039,,,,,,,,0
Solyc00g500040,,,,,,,,0
Solyc00g500041,,,,,,,,0
Solyc00g500042,,,,,,,,0
Solyc00g500043,,,,,,,,0
Solyc00g500044,,,,,,,,0
Solyc00g500045,,,,,,,,0
Solyc00g500046,,,,,,,,0
Solyc00g500047,,,,,,,,0
Solyc00g277510,Solyc00g277510,Solyc00g277510,Solyc00g277510,,,"Photosystem Q(B) protein (AHRD V1 ***- Q95B48_PRUPE); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M",,1
Solyc00g500048,,,,,,,,0
Solyc00g500049,,,,,,,,0
Solyc00g500050,,,,,,,,0
Solyc00g500051,,,,,,,,0
Solyc00g500052,,,,,,,,0
Solyc00g500053,,,,,,,,0
Solyc00g500054,,,,,,,,0
Solyc00g500055,,,,,,,,0
Solyc00g500056,,,,,,,,0
Solyc00g500057,,,,,,,,0
Solyc00g500058,,,,,,,,0
Solyc00g500059,,,,,,,,0
Solyc00g500060,,,,,,,,0
Solyc00g500061,,,,,,,,0
Solyc00g500062,,,,,,,,0
Solyc00g500063,,,,,,,,0
Solyc00g500064,,,,,,,,0
Solyc00g500065,,,,,,,,0
Solyc00g500066,,,,,,,,0
Solyc00g500067,,,,,,,,0
Solyc00g500068,,,,,,,,0
Solyc00g500069,,,,,,,,0
Solyc00g500070,,,,,,,,0
Solyc00g500071,,,,,,,,0
Solyc00g500072,,,,,,,,0
Solyc00g500073,,,,,,,,0
Solyc00g500074,,,,,,,,0
Solyc00g500075,,,,,,,,0
Solyc00g500076,,,,,,,,0
Solyc00g500077,,,,,,,,0
Solyc00g500078,,,,,,,,0
Solyc00g500079,,,,,,,,0
Solyc00g500080,,,,,,,,0
Solyc00g500081,,,,,,,,0
Solyc00g500082,,,,,,,,0
Solyc00g500083,,,,,,,,0
Solyc00g500084,,,,,,,,0
Solyc00g500085,,,,,,,,0
Solyc00g500086,,,,,,,,0
Solyc00g500087,,,,,,,,0
Solyc00g500088,,,,,,,,0
Solyc00g500089,,,,,,,,0
Solyc00g500090,,,,,,,,0
Solyc00g500091,,,,,,,,0
Solyc00g011670,Solyc00g011670,Solyc00g011670,Solyc00g011670,,,Unknown Protein (AHRD V1),,1
Solyc00g011660,Solyc00g011660,Solyc00g011660,Solyc00g011660,,,B3 domain-containing protein At1g49475 (AHRD V1 *-*- Y1475_ARATH); contains Interpro domain(s)  IPR003340  Transcriptional factor B3,,1
Solyc00g500092,,,,,,,,0
Solyc00g500093,,,,,,,,0
Solyc00g500094,,,,,,,,0
Solyc00g500095,,,,,,,,0
Solyc00g500096,,,,,,,,0
Solyc00g011560,Solyc00g011560,Solyc00g011560,Solyc00g011560,,,E3 ubiquitin-protein ligase SINA-like 10 (AHRD V1 *-*- SIL10_ARATH); contains Interpro domain(s)  IPR004162  Seven in absentia protein,,1
Solyc00g500097,,,,,,,,0
Solyc00g500098,,,,,,,,0
Solyc00g500099,,,,,,,,0
Solyc00g500100,,,,,,,,0
Solyc00g500101,,,,,,,,0
Solyc00g500102,,,,,,,,0
Solyc00g153980,Solyc00g153980,Solyc00g153980,Solyc00g153980,,,Unknown Protein (AHRD V1),,1
Solyc00g309530,Solyc00g309530,Solyc00g309530,Solyc00g309530,,,Unknown Protein (AHRD V1),,1
Solyc00g164580,Solyc00g164580,Solyc00g164580,Solyc00g164580,,,Unknown Protein (AHRD V1),,1
Solyc00g210860,Solyc00g210860,Solyc00g210860,Solyc00g210860,,,Unknown Protein (AHRD V1),,1
Solyc00g025400,Solyc00g025400,Solyc00g025400,Solyc00g025400,,,Unknown Protein (AHRD V1),,1
Solyc00g022070,Solyc00g022070,Solyc00g022070,Solyc00g022070,,,Unknown Protein (AHRD V1),,1
Solyc00g022080,Solyc00g022080,Solyc00g022080,Solyc00g022080,,,Unknown Protein (AHRD V1),,1
Solyc00g022090,Solyc00g022090,Solyc00g022090,Solyc00g022090,,,Unknown Protein (AHRD V1),,1
Solyc00g022100,Solyc00g022100,Solyc00g022100,Solyc00g022100,,,Ribosomal protein L10 (Fragment) (AHRD V1 ***- D1KY68_SARPR),,1
Solyc00g500103,,,,,,,,0
Solyc00g072800,Solyc00g072800,Solyc00g072800,Solyc00g072800,,,Unknown Protein (AHRD V1),,1
Solyc00g500104,,,,,,,,0
Solyc00g500105,,,,,,,,0
Solyc00g500106,,,,,,,,0
Solyc00g500107,,,,,,,,0
Solyc00g500108,,,,,,,,0
Solyc00g281110,Solyc00g281110,Solyc00g281110,Solyc00g281110,,,Unknown Protein (AHRD V1),,1
Solyc00g500109,,,,,,,,0
Solyc00g500110,,,,,,,,0
Solyc00g500111,,,,,,,,0
Solyc00g500112,,,,,,,,0
Solyc00g142160,Solyc00g142160,Solyc00g142160,Solyc00g142160,,,Unknown Protein (AHRD V1),,1
Solyc00g142170,Solyc00g142170,Solyc00g142170,Solyc00g142170,,,"RNA-dependent RNA polymerase (AHRD V1 *-*- Q18L78_9VIRU); contains Interpro domain(s)  IPR008686  RNA-dependent RNA polymerase, mitoviral",,1
Solyc00g500113,,,,,,,,0
Solyc00g500114,,,,,,,,0
Solyc00g500115,,,,,,,,0
Solyc00g500116,,,,,,,,0
Solyc00g500117,,,,,,,,0
Solyc00g500118,,,,,,,,0
Solyc00g500119,,,,,,,,0
Solyc00g500120,,,,,,,,0
Solyc00g500121,,,,,,,,0
Solyc00g015600,Solyc00g015600,Solyc00g015600,Solyc00g015600,,,Unknown Protein (AHRD V1),,1
Solyc00g500122,,,,,,,,0
Solyc00g007330,Solyc00g007330,Zinc finger transcription factor 1,SlC3H1,,Zinc finger transcription factor,SlC3H1 is part of the 90 member Zinc finger transcription factor gene family.,,1
Solyc00g007340,Solyc00g007340,Solyc00g007340,Solyc00g007340,,,Unknown Protein (AHRD V1),,1
Solyc00g007350,Solyc00g007350,Solyc00g007350,Solyc00g007350,,,Zinc finger CCCH domain-containing protein 30 (AHRD V1 *-*- C3H30_ORYSJ),,1
Solyc00g500123,,,,,,,,0
Solyc00g500124,,,,,,,,0
Solyc00g500125,,,,,,,,0
Solyc00g500126,,,,,,,,0
Solyc00g500127,,,,,,,,0
Solyc00g500128,,,,,,,,0
Solyc00g500129,,,,,,,,0
Solyc00g500130,,,,,,,,0
Solyc00g500131,,,,,,,,0
Solyc00g500132,,,,,,,,0
Solyc00g500133,,,,,,,,0
Solyc00g500134,,,,,,,,0
Solyc00g500135,,,,,,,,0
Solyc00g500136,,,,,,,,0
Solyc00g500137,,,,,,,,0
Solyc00g500138,,,,,,,,0
Solyc00g500139,,,,,,,,0
Solyc00g500140,,,,,,,,0
Solyc00g500141,,,,,,,,0
